pos,label
n-s---mg- n-s---mg- n-s---fg- n-s---fn- p-s---fn- u-------- c-------- d-------- l-p---nn- v-papmnn- r-------- n-p---mg- l-s---md- n-s---md- a-p---nn- v3sasm--- u-------- c-------- n-p---nn- a-d---fn- d-------- c-------- a-p---nn- u-------- l-p---nn- d-------- n-p---md- l-p---nn- c-------- a-p---md- v-pappnn- u-------- a-p---nn- v3sasm--- u-------- l-p---nn- d-------- p-p---nn- c-------- r-------- a-s---fa- n-s---fa- v3paia--- p-p---md- u--------,h
n-p---mg- d-------- d-------- l-p---mn- a-p---mn- n-p---ma- a-p---ma- v3ppia--- v--anm--- l-s---fg- n-s---fg- u--------,h
p-p---ma- d-------- r-------- l-s---fg- a-s---fg- v-sfpmfg- n-s---fg- v-papmma- r-------- a-s---fa- l-s---fa- n-s---fa- u-------- c-------- v-papama- a-s---ma- l-s---ma- n-s---ma- p-s---ma- d-------- d-------- v3ppia--- u-------- d-------- n-p---fd- a-p---fd- v--ane--- u-------- v-pppama- c-------- n-p---na- a-p---na- d-------- c-------- a-p---na- l-s---fd- d-------- p-s---fd- v--pne--- c-------- d-------- d-------- r-------- n-s---na- u--------,h
l-s---nn- d-------- n-s---nn- a-s---ma- l-s---ma- n-s---ma- v3siia--- a-p---md- l-p---mg- r-------- l-s---fd- d-------- n-s---fd- v-sfpmfd- n-s---fd- u--------,h
v-papmma- d-------- l-p---ma- n-p---ma- r-------- d-------- l-s---na- n-s---na- a-s---na- v--pne--- l-s---ma- n-s---ma- u--------,h
a-s---fd- d-------- c-------- a-s---fd- n-s---fd- r-------- p-s---fg- v3paim--- u-------- v-prpeng- p-p---md- d-------- a-p---ng- u-------- v--ana--- r-------- l-s---fa- n-s---fa- n-p---fa- a-p---fa- d-------- a-p---fa- c-------- d-------- d-------- l-s---mg- n-s---mg- n-s---fa- u--------,h
l-s---na- d-------- p-s---fd- n-s---na- v--pna--- u-------- r-------- p-s---nn- l-s---nn- d-------- n-p---mn- v-pppamd- u-------- n-s---fa- l-s---fa- n-s---mg- u--------,h
p-p---fa- v-papafa- r-------- n-s---fa- l-s---fg- n-s---fg- v--pne--- l-p---ng- n-p---ng- p-p---ng- p-p---md- v3siia--- n-s---mn- d-------- u--------,h
d-------- l-p---ma- n-p---ma- v-papema- v--ana--- r-------- p-p---fa- u--------,h
l-p---fa- d-------- d-------- a-p---fa- l-p---fg- n-p---fg- v--ana--- u-------- l-s---fa- c-------- n-s---ma- r-------- p-p---fd- v--anp--- u--------,h
v-papmma- d-------- r-------- l-s---fa- n-s---ma- v--pne--- v-pppama- r-------- n-s---fg- u--------,h
