pos,label
n-s---fa- v2spma--- n-s---fv- n-s---mg- n-s---mg- a-s---fa- u-------- p-s---fn- a-p---na- a-p---md- n-p---na- v3saia--- u-------- a-p---fa- g-------- a-p---ma- n-p---fa- --------- v3saia--- n-p---mg- u-------- a-p---ma- g-------- n-p---na- v3siia--- n-p---md- n-p---md- g-------- a-p---md- u-------- n-s---mg- g-------- v3siie--- n-s---fn- u-------- r-------- p-s---mg- g-------- l-p---na- a-p---na- v3daia--- v-dapamn- n-s---mn- g-------- n-s---mn- n-p---mg- c-------- a-s---mn- n-s---mn- u--------,i
x-------- g-------- g-------- p-d---ma- n-p---mg- n-s---fd- v3saia--- v--pne--- u--------,i
n-s---fg- c-------- n-s---mg- n-s---mn- u--------,i
p-s---mn- g-------- n-s---md- v-sappmn- n-s---fa- r-------- n-s---ma- v3saia--- a-s---fa- u-------- v3piie--- g-------- n-p---mn- u-------- c-------- l-s---ma- n-s---ma- v3saia--- n-s---fa- n-s---mn- u--------,i
p-s---mn- g-------- v3saia--- a-p---fa- r-------- n-p---fa- a-p---mg- v-sfpmmn- g-------- n-s---fa- v-sppamn- g-------- a-p---na- n-p---na- u-------- n-p---na- v-sppamn- r-------- n-p---fd- a-s---mg- n-s---mg- a-s---nd- r-------- n-s---nd- u-------- c-------- v3siie--- a-p---ma- a-p---ma- u-------- n-d---ma- g-------- d-------- m-------- u-------- n-d---ma- n-p---mg- u--------,i
n-p---mv- g-------- c-------- a-p---mv- a-p---mv- a-p---mv- u-------- p-p----d- g-------- n-p---mn- v3paoa--- a-p---na- n-p---na- v-pppamn- v--ana--- n-s---mg- n-s---fa- u-------- d-------- g-------- d-------- v--anm--- u--------,i
n-s---fa- g-------- p-s---md- v2paoa--- a-s---fa- u-------- l-p---na- g-------- n-p---na- v--pne--- u-------- v-pppemn- n-s---mg- n-s---ma- a-s---ma- n-s---ma- u--------,i
d-------- a-p---mn- g-------- a-p---mn- v3paia--- a-p---mn- v--pne--- g-------- n-s---ma- c-------- a-p---na- v--anm--- n-p---na- u--------,i
d-------- d-------- n-s---md- n-s---md- v3siia--- n-s---md- u-------- c-------- d-------- v3siia--- u-------- a-s---ma- g-------- r-------- n-s---ma- v3siia--- u--------,i
d-------- p-s----a- n-s---mv- a-p---fd- p-s---mn- r-------- n-p---fd- v1sasa--- c-------- d-------- v-sppama- c-------- a-s---na- d-------- v-sppama- u-------- c-------- d-------- p-s----d- d-------- v3sasa--- n-s---nn- c-------- n-s---nn- n-s---mg- u--------,i
p-s---fa- g-------- p-s---mn- d-------- v1sfia--- u--------,i
d-------- p-s---fa- d-------- n-s---nn- v3spia--- a-s---md- r-------- n-s---md- r-------- n-s---nd- r-------- n-s---fg- n-s---ma- v-sppefa- c-------- a-s---na- n-s---na- v-sppafa- u--------,i
d-------- v2spma--- d-------- p-s---ma- v2spma--- a-s---mnc c-------- g-------- v2spse--- u--------,i
d-------- v3siie--- u-------- v3saia--- g-------- l-s---mn- n-s---mn- c-------- v3siie--- n-s---md- u--------,i
v3saia--- g-------- a-s---mn- r-------- n-s---fa- a-s---fg- n-s---fg- u--------,i
a-p---na- g-------- d-------- d-------- v-sapamn- v3siie--- l-s---mn- a-s---mn- n-s---md- n-s---md- u-------- p-s---ma- a-s---fn- v3saia--- n-s---fn- u--------,i
v2sama--- p-s---mg- a-s---mv- u-------- p-s---mn- n-s---fa- v2sria--- n-s---fa- g-------- a-s---fa- n-s---fg- g-------- d-------- v2spia--- u-------- n-s---mv- c-------- g-------- p-s----d- a-s---md- r-------- n-s---ma- v1saia--- u-------- c-------- c-------- g-------- g-------- p-s----d- r-------- a-p---na- n-p---na- v1saia--- n-p---mg- c-------- n-p---mg- u-------- p-s---na- g-------- p-s---md- v2sama--- n-s---na- u--------,i
v3paoa--- n-p---mn- a-p---na- n-p---na- a-p---nd- n-p---nd- u--------,i
