pos,label
n-s---ma- p-s---md- v2spma--- u-------- n-s---fv- u-------- a-s---ma- u-------- p-s---mn- d-------- d-------- v3saip--- u-------- c-------- n-s---fg- a-s---na- n-s---na- v3saia--- u--------,o
a-p---mg- g-------- n-p---mg- v3saia--- n-p---na- c-------- n-s---ma- v3saia--- u-------- a-p---na- g-------- l-------- g-------- r-------- n-s---md- v3saia--- n-p---na- p-s---ma- r-------- n-s---ma- u-------- v-sppemn- p-s---fa- g-------- n-s---fa- c-------- n-s---ma- n-p---mg- u--------,o
c-------- g-------- d-------- n-p---ma- v3sai---- u-------- v-spp-mn- g-------- u--------,o
a-p---mg- g-------- a-p---fd- n-p---fd- v3pai---- u-------- a-p---mn- u-------- p-p---mn- r-------- n-p---fa- n-s---mg- n-s---mg- v3piia--- u--------,o
g-------- l-------- l-------- v3sai---- a-s---na- n-s---na- u--------,o
l-------- d-------- g-------- u-------- n-s---fv- u-------- n-s---fv- n-s---mg- u-------- v2sama--- d-------- p-p---md- u--------,o
d-------- a-p---mn- g-------- a-p---mn- u-------- a-p---mn- v3paia--- a-s---ma- n-s---ma- u-------- d-------- v3piia--- u-------- n-s---ma- g-------- v-prpamn- c-------- n-s---fa- u--------,o
l-------- g-------- a-s---ma- n-s---mg- v-srpema- c-------- n-s---fg- n-s---fn- n-s---fn- v3siia--- n-s---fn- a-s---fn- n-p---fg- r-------- n-p---nd- a-p---nd- u-------- v-spp-fn- n-s---ma- v--pna--- u--------,o
c-------- c-------- g-------- n-s---nn- v3saia--- v-ppp-mg- n-p---mg- u-------- l-------- l-------- v3pai---- n-p---mn- d-------- v--pne--- r-------- n-s---fa- u-------- g-------- d-------- v-srpemn- v3siia--- n-p---mg- d-------- r-------- p-p---md- a-p---md- u--------,o
n-p---mn- g-------- v3piia--- a-p---mn- r-------- n-s---mg- u--------,o
l-------- g-------- d-------- v3siia--- a-s---md- n-s---md- c-------- p-s---fa- n-s---fa- v--an---- u--------,o
c-------- l-------- g-------- n-p---ma- v3siia--- d-------- v-pppama- u-------- n-p---ma- l-------- d-------- v3prie--- u-------- a-p---mn- n-p---mg- u-------- l-------- g-------- v-sfp-mg- n-s---mg- l-------- g-------- v-sppamg- u-------- v-sppamn- n-p---mg- g-------- c-------- n-p---mg- n-s---fg- u--------,o
d-------- p-s---nn- g-------- v3siie--- n-s---fd- v-sppemn- u--------,o
l-------- g-------- g-------- a-p---mn- n-s---mg- r-------- n-p---nd- a-s---mg- a-p---mn- v3piia--- u--------,o
l-------- g-------- n-p---mg- v3sria--- n-s---mn- n-p---mg- g-------- n-p---mg- g-------- u--------,o
v3sai---- g-------- r-------- n-s---ma- a-s----g- n-s---mg- u-------- l-------- g-------- n-s---mn- a-s---mn- v3saia--- n-s---mn- u--------,o
l-------- l-------- g-------- v-sappmn- n-p---na- a-p---md- v3siia--- u--------,o
u-------- i-------- i-------- u-------- a-s---na- g-------- d-------- n-p---ma- n-p---mn- v3ppie--- u--------,o
r-------- p-p---mg- g-------- v3ppia--- n-p---fn- v--pna--- u-------- l-------- g-------- c-------- a-p---mn- a-p---fd- n-p---fd- r-------- n-s---ma- n-p---na- v3ppia--- u-------- c-------- d-------- d-------- n-s---mn- r-------- n-s---ma- n-s---mg- v3saia--- n-s---fa- a-s---fa- u-------- l-------- g-------- v3saia--- v-sapama- u-------- v-srpamn- a-s---ma- n-s---ma- u-------- c-------- d-------- p-s---md- v1paia--- p-p---mn- u-------- n-s---ma- v-papamn- u-------- a-s---ma- n-s---ma- u-------- g-------- a-s---ma- v--pna--- g-------- v--pne--- n-s---fa- u--------,o
r-------- g-------- n-s---mg- n-s---fn- v3sfi---- n-s---mg- u-------- d-------- g-------- v3sasa--- g-------- c-------- p-s---fg- v3sas---- n-s---fg- u--------,o
d-------- v3siie--- n-s---mn- u-------- c-------- d-------- n-p---fa- n-s---mg- v3siia--- a-p---na- v-sppamn- u--------,o
d-------- g-------- a-p---na- a-p---na- v3saia--- u-------- u--------,o
p-s---ma- g-------- v3siie--- d-------- n-s---fn- u-------- a-s---fn- n-s---fn- u--------,o
u-------- i-------- n-s---mv- a-s---mv- n-s---mv- u-------- a-s---mv- n-p---mg- u-------- c-------- d-------- a-s---mn- g-------- v-srpamd- v3spie--- n-s---md- u--------,o
d-------- v3sao---- d-------- a-s---mn- u-------- p-s---mn- a-p---na- g-------- v3spoa--- u--------,o
c-------- p-s---fd- r-------- n-s---md- a-s----d- v3spie--- n-s---nn- u-------- a-s---md- u-------- p-s---mn- g-------- d-------- a-p---mg- r-------- n-p---na- v3spia--- n-s---fd- r-------- a-s---fd- u-------- d-------- g-------- n-s---mn- v3spia--- n-s---fg- u--------,o
n-s---fn- a-s---fn- u-------- n-s---fn- g-------- r-------- n-p---na- v3spia--- u-------- n-s---mg- n-s---fn- a-s---mg- u-------- p-s---mn- g-------- n-s---fg- a-s---fg- n-p---na- v3sria--- u-------- v3spia--- g-------- g-------- n-p---fa- a-s---mn- a-p---fa- u-------- p-p---fn- n-s---fa- g-------- c-------- n-s---ma- d-------- v3ppia--- u--------,o
l-------- n-s---fn- a-s---ma- v-sppema- v3spia--- u-------- d-------- g-------- a-p---md- c-------- a-p---md- n-p---md- v3spia--- u-------- c-------- n-s---fg- v3sasm--- u--------,o
g-------- n-s---mn- u-------- v-spp-mn- d-------- n-s---ma- v-sppama- v--ana--- p-s---fg- n-s---fg- u-------- v--ana--- v3spie--- u--------,o
g-------- --------- d-------- p-s----d- g-------- v3spie--- a-s---nn- n-s---nn- u-------- a-s---mv- u--------,o
d-------- d-------- p-s----a- n-s---mn- a-p---mg- r-------- n-p---fd- v3siie--- a-p---na- v-sppamn- n-s---fd- r-------- a-s---fd- u--------,o
d-------- d-------- p-s---md- a-s---na- v2sai---- u-------- n-s---mv- u--------,o
p-s---fa- g-------- v-sppemn- v3siia--- n-s---mn- n-s---mn- u-------- u--------,o
u-------- n-s---nv- a-s---nv- u-------- a-s---nn- p-s----a- n-s---nn- v3saia--- n-s---na- n-p---mg- u--------,o
d-------- g-------- d-------- n-s---mg- p-s---mn- a-s---mg- v1spoe--- u-------- p-s---mn- r-------- g-------- n-s---ma- v3spia--- n-p---mg- u-------- r-------- g-------- a-p---na- n-p---md- a-p---md- v3saia--- u-------- l-------- n-s---ma- a-s---ma- v3ppia--- u--------,o
d-------- n-s---mn- a-s---mn- a-s---na- d-------- n-s---mg- v3srie--- u-------- p-s---ma- n-s---mg- v3saia--- u-------- a-s---ma- n-s---ma- u-------- p-s---mg- n-s---nn- v3spia--- a-s---nn- a-p---md- n-p---md- u--------,o
n-s---fn- g-------- p-s---ma- v3saia--- n-s---fn- u-------- n-s---mg- n-s---fn- n-s---mg- a-s---mg- n-s---mg- u-------- r-------- n-p---nd- a-p---nd- n-s---md- v-sappfn- u--------,o
r-------- l-------- g-------- n-s---ma- n-s---mn- n-s---mn- d-------- d-------- v3spia--- u-------- v3spia--- g-------- r-------- n-s---fg- n-s---fg- u--------,o
d-------- d-------- u-------- p-p---mn- p-p---mn- v1ppse--- a-p---mn- n-s---ma- u-------- c-------- v3sasa--- u--------,o
n-s---mn- g-------- v3sfia--- p-s---ma- n-s---ma- u--------,o
d-------- g-------- g-------- d-------- v3sfi---- r-------- a-p---mg- a-p---mg- d-------- n-p---mg- v--pna--- a-s---mn- u-------- u--------,o
p-s---ma- g-------- v3siie--- d-------- n-s---fn- u-------- a-s---fn- n-s---fn- u--------,o
u-------- i-------- n-s---mv- a-s---mv- n-s---mv- u-------- a-s---mv- n-p---mg- u-------- c-------- g-------- g-------- d-------- a-s---nn- a-s---nn- a-p---md- n-p---md- u-------- v--ana--- n-s---ma- a-s---ma- d-------- d-------- u-------- n-s---ma- g-------- d-------- n-s---ma- n-s---ma- n-s---fa- r-------- n-s---fa- v1pasa--- u-------- c-------- a-p---na- n-s---fd- a-s---md- v2sase--- a-s---fa- n-s---fa- u-------- n-s---ma- n-s---mg- n-s---fg- u-------- c-------- g-------- v3spse--- u--------,o
g-------- p-s---fn- d-------- v1sfi---- u-------- c-------- p-s---md- n-s---ma- d-------- v1spia--- c-------- p-s---md- n-s---na- r-------- n-p----d- v1spsa--- u-------- r-------- n-s---fa- v-sapama- n-s---na- v-pppama- a-p---ma- a-p---md- n-p---md- v--ana--- u-------- p-p---mn- g-------- p-s---md- d-------- n-p---na- a-p---na- v3ppia--- c-------- n-p---ma- n-p---ma- n-p---ma- u--------,o
v1sfia--- g-------- r-------- n-s---fa- g-------- c-------- r-------- n-s---ma- a-s---ma- n-s---ma- v-sfp-ma- n-s---mg- a-s---mg- u-------- c-------- d-------- v3sasa--- u-------- c-------- c-------- p-s---ma- n-s---nn- a-s---nn- r-------- n-p---md- v3spsa--- u-------- u--------,o
d-------- v-sapafn- r-------- n-p---md- v3sai---- a-p---na- n-p---na- u-------- a-p---na- a-p---na- u-------- p-p---nn- p-s---fa- v3piia--- c-------- r-------- a-s---fa- c-------- r-------- a-s---fa- n-s---fa- r-------- n-p---fd- n-s---mg- u--------,o
v3sai---- g-------- a-s---na- n-s---na- u-------- a-s---na- a-s---md- n-s---md- u-------- a-s---na- a-s---na- a-s---na- u-------- l-------- v3spia--- n-p---fa- n-p---mg- n-p---mg- u-------- l-------- g-------- v3sasm--- n-s---fn- u--------,o
v3saia--- g-------- r-------- n-s---mg- n-p---ng- v-sapafn- u-------- v3saia--- g-------- n-s---fg- r-------- n-s---md- r-------- n-p---nd- n-s---mg- u-------- n-s---mg- r-------- a-s---mg- u--------,o
n-s---fd- g-------- v3siia--- a-s---na- n-s---na- u-------- v-spp-fn- n-s---md- u-------- n-p---mg- n-s---md- n-s---md- u--------,o
v3saia--- g-------- g-------- n-p---ma- n-p---ma- u--------,o
