pos,label
n-s---mn- n-s---mn- v3saia--- l-s---ma- n-s---ma- l-p---mg- n-p---mg- c-------- n-p---mg- u-------- c-------- v3paia--- r-------- p-p---ma- u-------- v-sapmmn- d-------- v-sppeng- c-------- v-sapamn- a-s---ma- d-------- v--fnm--- c-------- a-s---mas l-p---mg- v-prpemg- u-------- v-sppemn- c-------- v-pppamn- d-------- v3piia--- r-------- a-s---ma- a-p---mn- n-s---fd- l-s---fd- a-s---fd- c-------- l-s---na- a-s---na- a-s---na- v-sppamn- v-sppena- r-------- a-p---ma- u-------- l-s---na- d-------- d-------- u-------- l-s---na- c-------- d-------- v-sppena- u--------,t
n-s---fn- d-------- a-s---fn- a-s---fn- d-------- l-p---md- n-p---md- v3saim--- c-------- n-s---nd- a-s---nd- l-p---mg- n-p---mg- u-------- c-------- d-------- v--ana--- c-------- r-------- a-s---na- n-p---mg- u--------,t
l-p---na- d-------- r-------- p-p---ng- c-------- l-p---na- d-------- a-p---nac d-------- d-------- v--ana--- r-------- n-s---mg- n-s---na- a-p---nn- v3siia--- u-------- r-------- c-------- n-p---ng- p-p---ng- r-------- a-s---nas v-sppamd- p1s---md- v--ana--- v3spia--- d-------- a-p---na- v1spia--- v--anm--- d-------- r-------- l-p---ma- n-p---ma- c-------- r-------- l-p---na- p-p---na- u--------,t
v3spie--- d-------- l-s---fn- d-------- n-s---fn- v-sppefn- d-------- d-------- d-------- n-s---fn- u-------- c-------- n-p---fn- d-------- v-pppafn- l-p---na- a-p---na- c-------- d-------- a-p---mn- l-s---fa- p-p---mg- v-pppamn- v-pppemn- r-------- p-p---mg- d-------- a-p---mgc u--------,t
l-s---fg- d-------- n-s---fg- d-------- v-sppafg- u-------- c-------- v-pppamn- d-------- p-p---md- d-------- r-------- n-s---fa- c-------- r-------- n-s---fg- u-------- v-pppemn- d-------- l-p---na- p-p---mg- a-p---mn- a-s---na- v--pna--- d-------- n-s---fa- n-p---ng- d-------- v-pppamn- c-------- n-s---fa- v-pppamn- u-------- a-s---na- v-sppana- d-------- p-s---mn- v-sapamn- d-------- a-p---mg- d-------- v-pppamg- a-s---mn- v3sasm--- u-------- l-s---fg- c-------- r-------- n-s---fa- a-s---fg- n-s---fg- d-------- d-------- v-pppemn- v--pna--- u-------- d-------- d-------- v3piie--- u-------- c-------- r-------- p-s---na- d-------- n-s---nd- n-p---fg- v3piia--- c-------- l-s---fd- a-s---fd- n-s---fd- u--------,t
d-------- d-------- l-s---fg- n-s---fg- l-s---fn- a-s---fn- d-------- l-p---fa- n-p---fa- l-p---mg- n-p---mg- v3siia--- u-------- l-s---fn- d-------- d-------- n-s---fn- v-sppefn- d-------- n-s---fn- n-s---fg- d-------- l-p---nn- a-p---nn- r-------- n-s---fg- u-------- l-s---fg- c-------- p-s---fg- a-p---nn- v3siia--- a-p---nn- u--------,t
r-------- d-------- n-s---fa- n-s---fg- l-p---fn- d-------- n-p---fn- p-p---md- a-p---fnc v-pppefn- n-p---fa- v3piia--- r-------- p-p---fg- v3piie--- u-------- c-------- d-------- r-------- a-p---mg- d-------- v3piie--- u--------,t
l-s---fa- d-------- n-s---fa- r-------- l-s---ng- r-------- a-s---na- r-------- l-s---na- a-s---na- a-s---fa- v-sppafa- n-p---mn- v3piia--- l-p---mn- a-p---mn- d-------- u--------,t
d-------- n-s---nn- a-s---nn- l-s---mg- n-s---mg- d-------- a-s---nn- v3spia--- r-------- l-p---fa- n-p---fa- r-------- l-p---na- p-p---na- d-------- d-------- v--anp--- u--------,t
r-------- d-------- l-s---fg- a-s---fg- n-s---fg- l-p---mn- n-s---md- c-------- n-s---fd- v-pppamn- r-------- n-p---ma- l-p---mn- a-p---mns d-------- a-s---na- v-sppana- v3piia--- u-------- c-------- n-p---mn- v-pppemn- d-------- r-------- a-s---ng- a-s---fac d-------- v3paia--- n-s---nd- n-p---mg- l-s---fa- n-s---fa- u-------- c-------- d-------- r-------- n-s---fa- a-s---na- d-------- d-------- a-s---fg- v-sppafg- l-s---fg- n-s---fg- n-p---fa- v3paia--- u--------,t
v3spia--- d-------- p1s---md- d-------- p-s---nn- l-p---mg- a-p---mg- n-s---fa- d-------- a-p---na- u--------,t
r-------- d-------- l-p---ng- a-p---ng- p-s---na- v3spie--- a-s---na- d-------- v-sapefn- l-s---fn- n-s---fn- u--------,t
v3spia--- d-------- p1s---md- u-------- d-------- l-s---na- n-s---na- a-s---na- a-s---fn- d-------- v3siia--- u-------- c-------- l-p---na- d-------- r-------- n-s---mg- l-s---mg- n-s---mg- d-------- d-------- d-------- v--pna--- l-s---fn- n-s---fn- a-s---fn- u-------- r-------- n-p---na- d-------- p-p---na- d-------- c-------- l-s---na- a-s---na- r-------- a-s---na- r-------- p-p---ng- l-s---fa- n-s---fa- v--pne--- u-------- n-s---mg- c-------- c-------- l-p---mg- n-p---mg- p-s---mg- r-------- l-s---fd- n-s---fd- v-papamg- u-------- c-------- v-pppemg- p-p---ma- r-------- n-s---fd- r-------- l-p---fa- a-p---fa- n-p---fa- u-------- r-------- a-p---ma- d-------- d-------- l-s---fd- n-s---fd- d-------- v--pne--- n-p---ma- u-------- d-------- d-------- a-s---mg- d-------- n-s---mg- u-------- v3siie--- u-------- d-------- a-p---md- v--ana--- u--------,t
v3spia--- d-------- d-------- n-s---mn- u--------,t
a-s---nd- d-------- a-s---na- d-------- d-------- l-p---ng- a-p---ng- v-sapmmn- d-------- l-p---ma- a-p---ma- v3saia--- u-------- d-------- p-p---ma- c-------- l-p---ma- r-------- n-s---mg- r-------- l-s---fg- n-s---fg- u-------- p-p---mn- d-------- a-p---mn- n-p---mn- v3piia--- u-------- n-p---ma- c-------- r-------- l-p---nd- n-p---nd- d-------- n-p---ma- c-------- n-p---ma- v3spia--- u--------,t
d-------- d-------- d-------- n-p---ma- v3sria--- r-------- l-s---na- d-------- n-p---ma- d-------- u-------- c-------- p1s---md- v3spia--- u-------- a-s---na- r-------- n-s---na- n-s---na- v--rne--- u--------,t
l-p---mn- d-------- d-------- d-------- a-p---mn- n-p---mn- r-------- n-p---fa- d-------- a-p---mn- p-p---mg- v3piia--- c-------- a-p---mn- n-s---na- v-pappmn- p-s---na- r-------- l-p---ng- a-p---ng- r-------- n-s---fa- c-------- n-s---fa- p-p---mg- a-p---mn- v3paia--- u--------,t
